date,category,title,amount
2024-01-12,restaurante,Pag*Marcotullioguerra,54.85
2024-01-12,transporte,Abastec*Abastece Ai,50.00
2024-01-11,restaurante,Pag*Dinayaradapaixao,56.00
2024-01-11,supermercado,Compre Mais,22.26
2024-01-11,supermercado,Pao de Acucar-0310,21.30
2024-01-10,lazer,Pag*Karolineferreira,9.50
2024-01-09,saúde,Drogaria Junqueira Qnn,12.50
2024-01-09,restaurante,Gladiador Alvim Comer,35.90
2024-01-09,restaurante,Brasilia Sul,23.85
2024-01-09,saúde,Drogasil2007,52.94
2024-01-08,lazer,Pag*Holandabike,20.00
2024-01-08,supermercado,Pag*36688847maciel,10.00
2024-01-08,restaurante,Açaí,18.00
2024-01-08,casa,Ultrabox,76.56
2024-01-08,restaurante,Acarajé,20.00
2024-01-06,supermercado,Supermercado Nossa Ca,7.99
2024-01-06,saúde,Drogasil2007,75.21
2024-01-06,supermercado,Com R,5.99
2024-01-06,supermercado,Melhor Atacadista,31.56
2024-01-05,casa,Atacadao Dia A Dia P S,177.49
2024-01-04,restaurante,Cristina Roberto Buff,69.85
2024-01-03,serviços,Pag*Robertomundim,7.00
2024-01-03,restaurante,Mc Donalds Ced,45.70
2024-01-02,transporte,Posto Metro,86.02
2024-01-02,transporte,Auto Posto Castanheira,50.00
2024-01-02,saúde,Drogasil2007,22.92
2024-01-02,serviços,Pag*Allissonmarcelo,30.00
2024-01-02,serviços,Winnie Lorrany Araujo,28.00
2024-01-01,serviços,Pag*Allissonmarcelo,26.00
2024-01-01,supermercado,Supercei Supermercados,11.23
2024-01-01,casa,Ultrabox,4.49
2023-12-31,supermercado,Super Adega,18.99
2023-12-31,restaurante,Sebinho Cafe,69.30
2023-12-31,transporte,Brasilia Participacoes,6.00
2023-12-31,restaurante,McDonalds,15.90
2023-12-30,supermercado,Tapajos Conveniencia,22.00
2023-12-30,restaurante,Bar e Restaurante Pane,39.74
2023-12-30,restaurante,Pm Paes Express,2.20
2023-12-30,supermercado,Pg *Ton Anaturalle,36.00
2023-12-30,serviços,Pag*Jessicagabriela,7.50
2023-12-30,viagem,Concessionaria de Rodo,7.10
2023-12-29,serviços,Pag*Ruthcorreiade,18.00
2023-12-27,transporte,Estacionamento Bi Camp,12.00
2023-12-27,restaurante,Burger King,46.90
2023-12-27,supermercado,Pag*Meumercado,13.99
2023-12-27,restaurante,Subway Ipe,39.00
2023-12-27,restaurante,Bosque dos Ipes,28.90
2023-12-27,transporte,Estacionamento Bi Camp,11.00
2023-12-27,eletrônicos,Clan Color Vip,33.00
2023-12-25,supermercado,Comper,41.96
2023-12-25,restaurante,Suco Frutao,19.90
2023-12-25,restaurante,Pastel & Co.,35.50
2023-12-23,transporte,Abastec*Abastece Ai,20.00
2023-12-22,outros,Vander Carlos Pinesso,65.00
2023-12-21,casa,Atacadao 031 As,95.52
2023-12-20,payment,Pagamento recebido,-2396.21
2023-12-20,restaurante,Padaria Albuquerque,21.57
2023-12-19,supermercado,Comper,70.17
2023-12-18,restaurante,Ifood *Ifd*Pelegrini,45.94
2023-12-16,supermercado,Comper,4.60
2023-12-15,saúde,Gmf Pharma,35.74
2023-12-14,restaurante,Padaria Albuquerque,4.65
2023-12-13,casa,Multicoisas 2/3,99.96
2023-12-13,saúde,Vindi *Newlentes 2/6,66.30
2023-12-13,saúde,Pag*Ppcampogrande 2/3,79.62
2023-12-13,outros,Mega 2/3,33.97
2023-12-13,transporte,A G Larrea Locadora de,31.63
2023-12-13,vestuário,Bazar 15/11 2/3,46.00
2023-12-13,saúde,Pdv*Drogaria.Freire 2/3,113.98
2023-12-13,eletrônicos,conserto tela e bateria do Tablet 8/10,138.00
2023-12-13,eletrônicos,Shopee*Shopee 2/3,90.24
2023-12-13,outros,Shopee*Ultrasupply 2/3,87.64
