date,category,title,amount
2023-08-08,supermercado,Pag*Meumercado,49.56
2023-08-06,restaurante,Barraca Jadi Soba,93.50
2023-08-03,lazer,Pag*Llcomercio,5.00
2023-08-03,supermercado,Comper,35.90
2023-08-03,supermercado,Comper,35.90
2023-08-03,supermercado,Comper,49.55
2023-08-02,supermercado,Comper,101.46
2023-07-31,restaurante,Mp *Paraiso,10.00
2023-07-31,restaurante,Pag*Sudoeste,35.00
2023-07-31,serviços,Apple.Com/Bill,69.90
2023-07-30,lazer,Pag*Culturaverde,126.00
2023-07-30,restaurante,Subway,41.80
2023-07-29,transporte,Uber *Uber *Trip,26.99
2023-07-29,vestuário,Isa.Belapiercing,88.00
2023-07-29,lazer,Pag*Buracodojazz,5.00
2023-07-29,restaurante,Pag*Raquelalvescampos,20.00
2023-07-28,transporte,Estacao Sul Auto Posto,60.00
2023-07-27,restaurante,Pag*Pclanches,34.75
2023-07-26,supermercado,Passe Bem Supermercado,27.37
2023-07-25,serviços,Pag*Barbearia,10.00
2023-07-22,supermercado,Super Guarapari,40.02
2023-07-21,lazer,Pac Amadeu Cruz,340.00
2023-07-20,payment,Pagamento recebido,-1566.08
2023-07-17,transporte,Uber *Uber *Trip,44.99
2023-07-17,restaurante,Ifood *Ifd*Burger Ki,50.80
2023-07-16,lazer,Tembici,4.50
2023-07-15,supermercado,Stokinho Lanches,13.00
2023-07-14,serviços,Ism Alimentacao e Serv,15.20
2023-07-14,lazer,Tembici,4.50
2023-07-13,eletrônicos,conserto tela e bateria do Tablet,138.00
2023-07-13,eletrônicos,Cbahia *38040608012,181.67
